iter	Passed	Remaining
427	9275	12395
428	9299	12378
429	9323	12359
430	9346	12339
431	9368	12318
432	9392	12299
433	9415	12279
434	9437	12258
435	9460	12237
436	9484	12219
437	9503	12194
438	9526	12173
439	9549	12153
440	9574	12135
441	9596	12114
442	9618	12094
443	9641	12074
444	9663	12052
445	9686	12032
446	9710	12012
447	9732	11992
448	9755	11972
449	9780	11954
450	9805	11935
451	9828	11915
452	9851	11895
453	9874	11875
454	9897	11855
455	9920	11834
456	9942	11813
457	9966	11794
458	9989	11774
459	10013	11754
460	10035	11733
461	10057	11712
462	10079	11690
463	10102	11669
464	10125	11649
465	10148	11629
466	10171	11609
467	10195	11590
468	10217	11568
469	10240	11548
470	10262	11526
471	10285	11505
472	10307	11484
473	10330	11464
474	10352	11442
475	10376	11422
476	10400	11403
477	10422	11381
478	10445	11361
479	10467	11339
480	10490	11318
481	10512	11297
482	10535	11276
483	10558	11256
484	10581	11236
485	10604	11214
486	10626	11194
487	10649	11172
488	10670	11150
489	10694	11130
490	10716	11109
491	10739	11089
492	10764	11069
493	10786	11048
494	10807	11026
495	10831	11005
496	10852	10983
497	10875	10962
498	10898	10941
499	10920	10920
500	10941	10897
501	10960	10872
502	10984	10853
503	11007	10832
504	11029	10811
505	11049	10787
506	11072	10766
507	11094	10744
508	11117	10724
509	11141	10705
510	11166	10685
511	11189	10664
512	11211	10643
513	11234	10622
514	11257	10601
515	11280	10580
516	11303	10559
517	11327	10540
518	11349	10518
519	11374	10499
520	11397	10478
521	11420	10457
522	11444	10437
523	11467	10416
524	11490	10395
525	11512	10374
526	11536	10354
527	11559	10333
528	11581	10312
529	11604	10291
530	11627	10270
531	11650	10248
532	11673	10227
533	11695	10206
534	11719	10185
535	11742	10164
536	11765	10144
537	11788	10123
538	11811	10102
539	11833	10080
540	11858	10061
541	11882	10040
542	11903	10017
543	11927	9998
544	11952	9978
545	11976	9958
546	12000	9937
547	12022	9916
548	12046	9896
549	12066	9872
550	12088	9851
551	12111	9829
552	12133	9808
553	12156	9786
554	12179	9765
555	12202	9744
556	12224	9722
557	12247	9701
558	12269	9679
559	12292	9658
560	12315	9637
561	12337	9615
562	12362	9595
563	12385	9574
564	12407	9552
565	12430	9531
566	12452	9509
567	12473	9486
568	12496	9465
569	12519	9444
570	12542	9423
571	12566	9402
572	12589	9381
573	12612	9360
574	12635	9339
575	12658	9317
576	12681	9296
577	12703	9275
578	12725	9252
579	12747	9230
580	12771	9210
581	12794	9189
582	12817	9167
583	12839	9146
584	12862	9124
585	12885	9103
586	12908	9082
587	12930	9060
588	12955	9040
589	12977	9018
590	13001	8997
591	13025	8976
592	13046	8954
593	13068	8932
594	13092	8911
595	13114	8890
596	13138	8868
597	13161	8848
598	13184	8826
599	13207	8805
600	13230	8783
601	13252	8761
602	13275	8740
603	13297	8718
604	13320	8697
605	13343	8675
606	13368	8655
607	13392	8634
608	13413	8612
609	13436	8590
610	13458	8568
611	13481	8546
612	13504	8525
613	13527	8504
614	13551	8483
615	13575	8462
616	13598	8440
617	13621	8419
618	13644	8398
619	13666	8376
620	13689	8354
621	13712	8333
622	13735	8312
623	13759	8291
624	13783	8269
625	13806	8248
626	13827	8226
627	13850	8204
628	13873	8183
629	13896	8161
630	13919	8139
631	13940	8117
632	13964	8096
633	13987	8074
634	14007	8051
635	14030	8030
636	14054	8008
637	14076	7987
638	14099	7965
639	14120	7942
640	14140	7919
641	14164	7898
642	14187	7876
643	14210	7855
644	14232	7833
645	14254	7811
646	14277	7789
647	14300	7768
648	14322	7746
649	14343	7723
650	14368	7702
651	14391	7681
652	14414	7659
653	14437	7638
654	14460	7616
655	14482	7594
656	14505	7573
657	14527	7550
658	14551	7529
659	14574	7508
660	14597	7486
661	14618	7464
662	14641	7442
663	14665	7420
664	14686	7398
665	14709	7376
666	14732	7355
667	14758	7335
668	14780	7312
669	14802	7290
670	14824	7268
671	14845	7246
672	14869	7225
673	14893	7203
674	14915	7181
675	14937	7159
676	14961	7138
677	14984	7116
678	15004	7093
679	15026	7071
680	15049	7049
681	15072	7027
682	15094	7005
683	15117	6983
684	15140	6962
685	15164	6941
686	15187	6919
687	15211	6898
688	15234	6876
689	15257	6854
690	15280	6833
691	15304	6811
692	15325	6789
693	15348	6767
694	15374	6746
695	15398	6725
696	15421	6703
697	15444	6682
698	15466	6660
699	15488	6637
700	15510	6615
701	15534	6594
702	15559	6573
703	15582	6551
704	15605	6530
705	15626	6507
706	15648	6484
707	15670	6463
708	15693	6441
709	15716	6419
710	15738	6397
711	15761	6375
712	15784	6353
713	15807	6331
714	15830	6309
715	15853	6288
716	15876	6266
717	15895	6243
718	15918	6221
719	15943	6200
720	15967	6178
721	15990	6156
722	16013	6135
723	16035	6113
724	16057	6090
725	16081	6069
726	16104	6047
727	16127	6025
728	16152	6004
729	16187	5987
730	16210	5965
731	16235	5943
732	16258	5922
733	16281	5900
734	16305	5878
735	16327	5856
736	16350	5834
737	16373	5812
738	16396	5790
739	16420	5769
740	16450	5749
741	16478	5729
742	16501	5707
743	16525	5686
744	16547	5663
745	16571	5642
746	16595	5620
747	16618	5598
748	16644	5577
749	16696	5565
750	16728	5546
751	16754	5525
752	16779	5503
753	16802	5481
754	16824	5459
755	16847	5437
756	16874	5416
757	16897	5394
758	16921	5372
759	16944	5350
760	16968	5328
761	16990	5306
762	17013	5284
763	17036	5262
764	17059	5240
765	17082	5218
766	17106	5196
767	17128	5174
768	17150	5151
769	17174	5130
770	17197	5108
771	17220	5085
772	17243	5063
773	17266	5041
774	17291	5020
775	17316	4998
776	17338	4976
777	17362	4954
778	17387	4932
779	17410	4910
780	17434	4888
781	17467	4869
782	17490	4847
783	17515	4825
784	17540	4804
785	17562	4781
786	17588	4760
787	17611	4738
788	17638	4716
789	17659	4694
790	17683	4672
791	17708	4650
792	17732	4628
793	17757	4607
794	17780	4584
795	17803	4562
796	17826	4540
797	17850	4518
798	17872	4496
799	17896	4474
800	17919	4452
801	17944	4430
802	17968	4408
803	17991	4386
804	18015	4364
805	18039	4342
806	18064	4320
807	18089	4298
808	18115	4276
809	18141	4255
810	18168	4234
811	18192	4212
812	18216	4189
813	18237	4167
814	18260	4144
815	18282	4122
816	18304	4100
817	18327	4077
818	18351	4055
819	18377	4034
820	18401	4011
821	18425	3990
822	18451	3968
823	18474	3946
824	18497	3923
825	18519	3901
826	18544	3879
827	18567	3857
828	18589	3834
829	18612	3812
830	18636	3790
831	18659	3767
832	18681	3745
833	18703	3722
834	18728	3700
835	18750	3678
836	18774	3656
837	18797	3633
838	18820	3611
839	18843	3589
840	18868	3567
841	18890	3544
842	18912	3522
843	18936	3500
844	18961	3478
845	18987	3456
846	19016	3435
847	19056	3415
848	19087	3394
849	19112	3372
850	19136	3350
851	19163	3328
852	19190	3307
853	19224	3286
854	19269	3267
855	19295	3245
856	19321	3223
857	19346	3201
858	19373	3180
859	19398	3157
860	19424	3135
861	19452	3114
862	19481	3092
863	19506	3070
864	19532	3048
865	19556	3026
866	19580	3003
867	19603	2981
868	19627	2958
869	19652	2936
870	19676	2914
871	19703	2892
872	19729	2870
873	19759	2848
874	19789	2827
875	19814	2804
876	19841	2782
877	19867	2760
878	19892	2738
879	19916	2715
880	19941	2693
881	19966	2671
882	19992	2649
883	20016	2626
884	20041	2604
885	20067	2582
886	20092	2559
887	20117	2537
888	20143	2515
889	20167	2492
890	20192	2470
891	20219	2448
892	20244	2425
893	20268	2403
894	20293	2380
895	20316	2358
896	20340	2335
897	20364	2313
898	20388	2290
899	20414	2268
900	20439	2245
901	20463	2223
902	20489	2200
903	20515	2178
904	20540	2156
905	20567	2133
906	20593	2111
907	20619	2089
908	20643	2066
909	20667	2044
910	20690	2021
911	20714	1998
912	20737	1976
913	20761	1953
914	20786	1930
915	20813	1908
916	20837	1886
917	20861	1863
918	20884	1840
919	20907	1818
920	20931	1795
921	20955	1772
922	20978	1750
923	21004	1727
924	21028	1704
925	21051	1682
926	21077	1659
927	21102	1637
928	21127	1614
929	21151	1592
930	21176	1569
931	21201	1546
932	21226	1524
933	21249	1501
934	21273	1478
935	21297	1456
936	21324	1433
937	21348	1411
938	21374	1388
939	21399	1365
940	21422	1343
941	21448	1320
942	21471	1297
943	21494	1275
944	21517	1252
945	21540	1229
946	21565	1206
947	21588	1184
948	21613	1161
949	21636	1138
950	21660	1116
951	21684	1093
952	21713	1070
953	21737	1048
954	21769	1025
955	21808	1003
956	21836	981
957	21863	958
958	21889	935
959	21915	913
960	21940	890
961	21967	867
962	21991	844
963	22016	822
964	22039	799
965	22063	776
966	22086	753
967	22109	730
968	22130	707
969	22153	685
970	22175	662
971	22199	639
972	22220	616
973	22240	593
974	22263	570
975	22285	548
976	22308	525
977	22330	502
978	22353	479
979	22379	456
980	22403	433
981	22426	411
982	22449	388
983	22472	365
984	22493	342
985	22517	319
986	22537	296
987	22558	273
988	22581	251
989	22609	228
990	22637	205
991	22679	182
992	22711	160
993	22738	137
994	22762	114
995	22788	91
996	22812	68
997	22842	45
998	22880	22
999	22906	0
